frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.reset,frame.len,data.len,ip.ttl,tcp.window_size,tcp.ack,http.request.method,http.response.code
"Jun  9, 2025 21:36:46.885378000 CDT","192.168.1.104","8.8.8.8","1",,,,,,,,"98","48","64",,,,
"Jun  9, 2025 21:36:46.895577000 CDT","104.18.28.234","192.168.1.104","6","443","60754",,,"0x0018","False","False","384",,"58","8","1",,
"Jun  9, 2025 21:36:46.895675000 CDT","192.168.1.104","104.18.28.234","6","60754","443",,,"0x0010","False","False","66",,"64","2044","319",,
"Jun  9, 2025 21:36:46.895960000 CDT","104.18.28.234","192.168.1.104","6","443","60754",,,"0x0018","False","False","99",,"58","8","1",,
"Jun  9, 2025 21:36:46.895962000 CDT","104.18.28.234","192.168.1.104","6","443","60754",,,"0x0018","False","False","97",,"58","8","1",,
"Jun  9, 2025 21:36:46.896026000 CDT","192.168.1.104","104.18.28.234","6","60754","443",,,"0x0010","False","False","66",,"64","2047","383",,
"Jun  9, 2025 21:36:46.906882000 CDT","8.8.8.8","192.168.1.104","1",,,,,,,,"98","48","118",,,,
"Jun  9, 2025 21:36:47.021183000 CDT","192.168.1.104","104.18.28.234","6","60754","443",,,"0x0011","False","False","66",,"64","2048","383",,
"Jun  9, 2025 21:36:47.044549000 CDT","104.18.28.234","192.168.1.104","6","443","60754",,,"0x0011","False","False","66",,"58","8","2",,
"Jun  9, 2025 21:36:47.044733000 CDT","192.168.1.104","104.18.28.234","6","60754","443",,,"0x0010","False","False","66",,"64","2048","384",,
"Jun  9, 2025 21:36:47.145332000 CDT","192.168.1.1","224.0.0.1","2",,,,,,,,"60",,"1",,,,
"Jun  9, 2025 21:36:47.219370000 CDT","192.168.1.104","142.250.115.95","6","60705","443",,,"0x0018","False","False","90",,"64","2048","1",,
"Jun  9, 2025 21:36:47.219837000 CDT","192.168.1.104","142.250.115.95","6","60705","443",,,"0x0011","False","False","66",,"64","2048","1",,
"Jun  9, 2025 21:36:47.241024000 CDT","142.250.115.95","192.168.1.104","6","443","60705",,,"0x0011","False","False","66",,"122","2128","25",,
"Jun  9, 2025 21:36:47.241243000 CDT","192.168.1.104","142.250.115.95","6","60705","443",,,"0x0011","False","False","66",,"64","2048","2",,
"Jun  9, 2025 21:36:47.245125000 CDT","142.250.115.95","192.168.1.104","6","443","60705",,,"0x0010","False","False","66",,"122","2128","26",,
"Jun  9, 2025 21:36:47.563183000 CDT","192.168.1.104","192.168.1.1","17",,,"52383","53",,,,"102",,"64",,,,
"Jun  9, 2025 21:36:47.890649000 CDT","192.168.1.104","8.8.8.8","1",,,,,,,,"98","48","64",,,,
"Jun  9, 2025 21:36:47.913999000 CDT","8.8.8.8","192.168.1.104","1",,,,,,,,"98","48","118",,,,
"Jun  9, 2025 21:36:48.018331000 CDT","192.168.1.104","17.253.127.137","17",,,"53419","33437",,,,"54","12","3",,,,
"Jun  9, 2025 21:36:48.029701000 CDT","173.219.226.124","192.168.1.104","1",,,"53419","33437",,,,"110","12","253",,,,
"Jun  9, 2025 21:36:48.030236000 CDT","192.168.1.104","17.253.127.137","17",,,"53419","33438",,,,"54","12","4",,,,
"Jun  9, 2025 21:36:48.055585000 CDT","173.219.233.244","192.168.1.104","1",,,"53419","33438",,,,"182","12","251",,,,
"Jun  9, 2025 21:36:48.055961000 CDT","192.168.1.104","17.253.127.137","17",,,"53419","33439",,,,"54","12","5",,,,
"Jun  9, 2025 21:36:48.078417000 CDT","17.1.138.77","192.168.1.104","1",,,"53419","33439",,,,"70",,"251",,,,
"Jun  9, 2025 21:36:48.078869000 CDT","192.168.1.104","17.253.127.137","17",,,"53419","33440",,,,"54","12","6",,,,
"Jun  9, 2025 21:36:48.098585000 CDT","17.0.18.140","192.168.1.104","1",,,"53419","33440",,,,"70",,"251",,,,
"Jun  9, 2025 21:36:48.109081000 CDT","192.168.1.104","192.168.1.1","17",,,"65453","53",,,,"77",,"64",,,,
"Jun  9, 2025 21:36:48.109228000 CDT","192.168.1.104","192.168.1.1","17",,,"54831","53",,,,"78",,"64",,,,
"Jun  9, 2025 21:36:48.128532000 CDT","192.168.1.1","192.168.1.104","17",,,"53","54831",,,,"154",,"64",,,,
"Jun  9, 2025 21:36:48.146234000 CDT","192.168.1.1","192.168.1.104","17",,,"53","65453",,,,"179",,"64",,,,
"Jun  9, 2025 21:36:48.147847000 CDT","192.168.1.104","17.253.127.137","6","60760","443",,,"0x0002","True","False","78",,"64","65535","0",,
"Jun  9, 2025 21:36:48.167529000 CDT","17.253.127.137","192.168.1.104","6","443","60760",,,"0x0012","True","False","74",,"59","33212","1",,
"Jun  9, 2025 21:36:48.167663000 CDT","192.168.1.104","17.253.127.137","6","60760","443",,,"0x0010","False","False","66",,"64","131456","1",,
