frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.reset,frame.len,data.len,ip.ttl,tcp.window_size,tcp.ack,http.request.method,http.response.code
"Dec 31, 1969 18:00:00.002754000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:00.002804000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:00.003822000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.013028000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.013038000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.022078000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:00.023071000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:00.023081000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.023594000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.024791000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.101034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.101044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.101297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.102494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.201034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.201044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.201297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.202494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.301034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.301044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.301297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.302494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.401034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.401044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.401297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.402494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.501034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.501044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.501297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.502494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.601034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.601044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.601297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.602494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.701034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.701044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.701297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.702494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.801034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.801044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.801297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.802494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.901034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.901044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.901297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.902494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.002430000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.002440000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.002693000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.003890000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.004664000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:01.005578000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:01.006572000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:01.101034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.101044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.101297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.102494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.201034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.201044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.201297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.202494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.301034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.301044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.301297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.302494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.401034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.401044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.401297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.402494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.501034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.501044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.501297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.502494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.601034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.601044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.601297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.602494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.701034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.701044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.701297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.702494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.801034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.801044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.801297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.802494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.901034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.901044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:01.901297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:01.902494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.003130000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.003140000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.003393000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.004590000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.101034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.101044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.101297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.102494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.201034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.201044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.201297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.202494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.301034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.301044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.301297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.302494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.401034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.401044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.401297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.402494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.501034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.501044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.501297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.502494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.601034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.601044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.601297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.602494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.701034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.701044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.701297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.702494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.801034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.801044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.801297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.802494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.901034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.901044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.901297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:02.902494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.002430000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.002440000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.002693000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.003890000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.101034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.101044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.101297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.102494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.201034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.201044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.201297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.202494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.301034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.301044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.301297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.302494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.401034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.401044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.401297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.402494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.501034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.501044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.501297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.502494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.601034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.601044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.601297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.602494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.701034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.701044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.701297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.702494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.801034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.801044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.801297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.802494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.901034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.901044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:03.901297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:03.902494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:04.002970000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:04.002980000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:04.003233000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:04.004430000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:04.101034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:04.101044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:04.101297000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:04.102494000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:04.201034000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:04.201044000 CST",,,,,,,,,,,"14",,,,,,
